Weryfikacja	Potencjalna Szansa	Kontakt Handlowy	Godzina
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	09:27
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	09:46
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:25
Konto Umowy	Soft Soft Soft 	WystawionoKH	10:51
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:03
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:13
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:21
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:27
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:33
Brak_Konta_Umowy	Potencjalna Wystawiona	WystawionoKH	11:39
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	11:44
Brak_Konta_Umowy	Potencjalna Wystawiona	WystawionoKH	11:59
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:05
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	12:18
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:26
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	12:30
Brak_Konta_Umowy	Potencjalna Wystawiona	WystawionoKH	12:34
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	12:38
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	12:49
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	12:58
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:03
Konto Umowy	Soft Soft 	WystawionoKH	13:17
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	13:38
