Weryfikacja	Potencjalna Szansa	Kontakt Handlowy	Godzina
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	08:04
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	08:14
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	08:36
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	08:43
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	09:07
Konto Umowy	Potencjalna Wystawiona Wczeœniej	WystawionoKH	09:40
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	09:41
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	09:45
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:02
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:11
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:15
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	10:26
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:31
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:39
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	10:45
Osoba Trzecia	Potencjalna Wystawiona	WystawionoKH	10:47
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	10:57
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:10
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	11:18
Konto Umowy	Soft 	WystawionoKH	11:26
Konto Umowy	Potencjalna Wystawiona Wczeœniej	WystawionoKH	12:01
Brak Konta Umowy	Potencjalna Wystawiona	WystawionoKH	12:08
Konto Umowy	Soft 	WystawionoKH	12:16
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:21
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:28
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	12:38
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:01
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:10
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:18
Konto Umowy	Potencjalna Wystawiona	WystawionoKH	13:50
